CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,MALE,19.0,15.0,39.0
2,MALE,21.0,15.0,81.0
3, female ,20.0,16.0,6.0
4, female ,23.0,16.0,
5, female ,31.0,17.0,40.0
6, female ,22.0,17.0,76.0
7, female ,35.0,18.0,6.0
8, female ,23.0,18.0,94.0
9,MALE,64.0,19.0,3.0
10, female ,30.0,19.0,72.0
11,MALE,67.0,,14.0
12, female ,35.0,19.0,99.0
13, female ,58.0,20.0,15.0
14, female ,24.0,20.0,77.0
15,MALE,37.0,20.0,13.0
16,MALE,,20.0,79.0
17, female ,35.0,21.0,35.0
18,MALE,20.0,21.0,66.0
19,MALE,52.0,23.0,29.0
20, female ,35.0,23.0,98.0
21,MALE,,24.0,35.0
22,MALE,25.0,24.0,73.0
23, Female,46.0,25.0,5.0
24,MALE,31.0,,
25, female ,54.0,28.0,14.0
26,MALE,29.0,28.0,82.0
27, female ,45.0,28.0,32.0
28,MALE,35.0,28.0,61.0
29, female ,40.0,29.0,
30, female ,23.0,29.0,87.0
31,MALE,,30.0,4.0
32, female ,21.0,30.0,73.0
33,MALE,53.0,33.0,4.0
34,MALE,18.0,33.0,92.0
35, female ,49.0,33.0,14.0
36, female ,21.0,33.0,81.0
37, female ,42.0,34.0,17.0
38, female ,30.0,,73.0
39, female ,36.0,37.0,26.0
40, female ,20.0,37.0,75.0
41, female ,65.0,38.0,35.0
42,MALE,24.0,38.0,92.0
43,MALE,48.0,39.0,36.0
44, female ,31.0,39.0,61.0
45, female ,49.0,39.0,28.0
46, female ,,39.0,65.0
47, female ,50.0,40.0,55.0
48, female ,27.0,40.0,47.0
49, female ,29.0,40.0,42.0
50, female ,31.0,40.0,42.0
51, female ,49.0,42.0,52.0
52,MALE,33.0,42.0,60.0
53, female ,31.0,43.0,54.0
54,MALE,59.0,43.0,60.0
55, female ,50.0,43.0,
56,MALE,47.0,43.0,41.0
57, female ,51.0,,50.0
58,MALE,69.0,44.0,46.0
59, female ,27.0,46.0,51.0
60, Female,53.0,46.0,46.0
61,MALE,70.0,46.0,56.0
62,MALE,19.0,46.0,55.0
63, female ,67.0,,52.0
64, female ,54.0,47.0,59.0
65,MALE,63.0,48.0,51.0
66,MALE,18.0,48.0,59.0
67, female ,43.0,48.0,50.0
68, female ,68.0,,48.0
69,MALE,19.0,48.0,59.0
70, female ,,48.0,47.0
71,MALE,70.0,49.0,55.0
72, female ,47.0,49.0,42.0
73, female ,60.0,50.0,49.0
74, female ,60.0,50.0,
75,MALE,59.0,54.0,47.0
76,MALE,26.0,54.0,54.0
77, Female,45.0,54.0,53.0
78,MALE,40.0,54.0,48.0
79, female ,23.0,54.0,52.0
80, female ,49.0,,
81,MALE,57.0,,51.0
82,MALE,38.0,54.0,55.0
83,MALE,67.0,54.0,41.0
84, female ,46.0,54.0,44.0
85, female ,21.0,54.0,57.0
86,MALE,48.0,54.0,46.0
87, female ,55.0,57.0,58.0
88, female ,22.0,57.0,55.0
89, female ,34.0,58.0,60.0
90, female ,50.0,58.0,46.0
91, female ,68.0,59.0,55.0
92,MALE,18.0,59.0,41.0
93,MALE,48.0,60.0,49.0
94, female ,40.0,60.0,40.0
95, female ,32.0,60.0,42.0
96,MALE,,60.0,52.0
97, female ,47.0,60.0,47.0
98, female ,27.0,60.0,50.0
99,MALE,48.0,61.0,42.0
100,MALE,20.0,61.0,49.0
101, female ,23.0,62.0,41.0
102, female ,49.0,62.0,48.0
103,MALE,67.0,62.0,59.0
104,MALE,26.0,62.0,55.0
105,MALE,49.0,62.0,56.0
106, female ,21.0,62.0,42.0
107, female ,66.0,63.0,50.0
108,MALE,54.0,63.0,46.0
109,MALE,68.0,63.0,43.0
110,MALE,66.0,63.0,48.0
111,MALE,65.0,63.0,52.0
112, female ,19.0,63.0,54.0
113, female ,38.0,64.0,42.0
114,MALE,19.0,64.0,46.0
115, female ,18.0,65.0,
116, female ,,65.0,50.0
117, female ,63.0,65.0,43.0
118, female ,49.0,65.0,59.0
119, female ,51.0,67.0,43.0
120, female ,50.0,67.0,57.0
121,MALE,27.0,67.0,56.0
122, female ,38.0,67.0,40.0
123, female ,40.0,69.0,58.0
124,MALE,39.0,69.0,91.0
125, female ,23.0,70.0,
126, female ,31.0,70.0,77.0
127,MALE,43.0,71.0,35.0
128,MALE,40.0,71.0,95.0
129,MALE,,,11.0
130,MALE,38.0,71.0,75.0
131,MALE,47.0,71.0,9.0
132,MALE,39.0,71.0,75.0
133, female ,25.0,72.0,34.0
134, female ,31.0,72.0,71.0
135,MALE,20.0,73.0,5.0
136, female ,29.0,73.0,
137, female ,44.0,73.0,7.0
138,MALE,32.0,73.0,73.0
139,MALE,19.0,74.0,10.0
140, Female,35.0,74.0,72.0
141, female ,57.0,75.0,5.0
142,MALE,32.0,75.0,93.0
143, female ,28.0,76.0,40.0
144, female ,32.0,76.0,87.0
145,MALE,25.0,77.0,12.0
146,MALE,28.0,77.0,97.0
147,MALE,48.0,77.0,36.0
148, female ,32.0,77.0,74.0
149, female ,34.0,78.0,22.0
150,MALE,34.0,78.0,90.0
151,MALE,43.0,78.0,17.0
152,MALE,39.0,78.0,88.0
153, female ,44.0,78.0,20.0
154, female ,38.0,78.0,76.0
155, female ,47.0,78.0,16.0
156, female ,27.0,78.0,89.0
157,MALE,37.0,78.0,1.0
158, female ,30.0,78.0,
159,MALE,,78.0,1.0
160, female ,30.0,78.0,73.0
161, female ,56.0,79.0,35.0
162, female ,29.0,79.0,83.0
163, Female,19.0,81.0,5.0
164, Female,31.0,81.0,93.0
165,MALE,50.0,85.0,26.0
166, female ,36.0,85.0,75.0
167,MALE,42.0,86.0,20.0
168, female ,33.0,86.0,95.0
169, female ,36.0,87.0,27.0
170,MALE,32.0,87.0,63.0
171,MALE,,87.0,13.0
172,MALE,28.0,87.0,75.0
173,MALE,36.0,87.0,10.0
174,MALE,36.0,87.0,92.0
175, female ,,88.0,13.0
176, female ,30.0,88.0,86.0
177,MALE,58.0,88.0,15.0
178,MALE,27.0,88.0,69.0
179,MALE,59.0,93.0,14.0
180,MALE,35.0,93.0,90.0
181, female ,37.0,97.0,32.0
182, female ,32.0,97.0,86.0
183,MALE,46.0,98.0,15.0
184, female ,29.0,,88.0
185, female ,41.0,99.0,39.0
186,MALE,30.0,99.0,97.0
187, female ,54.0,101.0,24.0
188,MALE,28.0,101.0,68.0
189, female ,41.0,,17.0
190, female ,36.0,103.0,85.0
191, female ,34.0,103.0,23.0
192, female ,32.0,103.0,69.0
193,MALE,33.0,113.0,8.0
194, female ,38.0,113.0,91.0
195, female ,47.0,120.0,16.0
196, female ,35.0,120.0,79.0
197, female ,45.0,126.0,28.0
198,MALE,32.0,126.0,74.0
199,MALE,32.0,137.0,18.0
200,MALE,30.0,137.0,83.0
38, female ,30.0,,73.0
110,MALE,66.0,63.0,48.0
32, female ,21.0,30.0,73.0
90, female ,50.0,58.0,46.0
67, female ,43.0,48.0,50.0
120, female ,50.0,67.0,57.0
55, female ,50.0,43.0,
75,MALE,59.0,54.0,47.0
146,MALE,28.0,77.0,97.0
143, female ,28.0,76.0,40.0
